EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
YES,Copernicus Digital Elevation Model (DEM),"Copernicus Digital Elevation Model (DEM) for Europe derived from Copernicus Global 30 meter DEM dataset, (2020 release): resampled to 30 arc seconds (ca. 1000 meter) resolution, WGS 84 (EPSG:4326). 

Abstract: The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. The original GLO-30 provides worldwide coverage at 30 meters (refers to 10 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters.

The Copernicus DEM for Europe at 30 arcsec (0:00:30 = 0.0083333333 ~ 1000 meter) in COG format has been derived from the Copernicus DEM GLO-30, mirrored on Open Data on AWS, dataset managed by Sinergise (https://registry.opendata.aws/copernicus-dem/).","digital terrain model, elevation, radar, radar remote sensing, space, remote sensing, Copernicus DEM, environment, DSM, DEM, geomorphometry, Europe, MOOD-H2020 ",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.6211553,YES,,CC-BY-SA 4.0,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120056,56
YES,Copernicus Digital Elevation Model (DEM),"Copernicus Digital Elevation Model (DEM) for Europe derived from Copernicus Global 30 meter DEM dataset, (2020 release): resampled to 1000 m, reprojected to EU LAEA. 

Abstract: The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. The original GLO-30 provides worldwide coverage at 30 meters (refers to 10 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters.

The Copernicus DEM for Europe at 1000 meter resolution (EU-LAEA projection) in COG format has been derived from the Copernicus DEM GLO-30, mirrored on Open Data on AWS, dataset managed by Sinergise (https://registry.opendata.aws/copernicus-dem/).","digital terrain model, elevation, radar, radar remote sensing, space, remote sensing, Copernicus DEM, environment, DSM, DEM, geomorphometry, Europe, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.6211883,YES,,CC-BY-SA 4.0,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120057,57
NO,"ERA5-Land, Air Temperature (2m)","ERA5-Land Air Temperature (2m), enhanced to 1 km, LAEA Europe (EPSG:3035): Daily, min/mean/max of air temperature (2m), 2000 - 2020

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past. 

Air temperature (2 m):
Temperature of air at 2m above the surface of land, sea or in-land waters. 2m temperature is calculated by interpolating between the lowest model level and the Earth's surface, taking account of the atmospheric conditions.

Data available is the daily average, minimum and maximum of air temperature (2 m).","air temperature, MOOD-H2020, Europe, ERA5-Land",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Kröber Felix ",2022,Data upon request,https://geonetwork.mood-h2020.eu/geonetwork/srv/eng/catalog.search#/metadata/d08cd288-a2c5-4c8d-a621-eedc33fab449,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120081,81
YES,"ERA5-Land, Air Temperature (2m)","ERA5-Land Air Temperature (2m), enhanced to 1 km, LAEA Europe (EPSG:3035): Weekly min/mean/max of air temperature (2 m), 2016 - 2020 

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Air temperature (2 m):
Temperature of air at 2m above the surface of land, sea or in-land waters. 2m temperature is calculated by interpolating between the lowest model level and the Earth's surface, taking account of the atmospheric conditions.

The spatially enhanced daily ERA5-Land data has been aggregated on a weekly basis starting from Saturday for the time period 2016 - 2020.
Data available is the weekly average of daily averages, the weekly minimum of daily minima and the weekly maximum of daily maxima of air temperature (2 m).","air temperature, MOOD-H2020, Europe, ERA5-Land",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Kröber Felix ",2022,Zenodo,https://doi.org/10.5281/zenodo.6559122,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120082,82
YES,"ERA5-Land, Relative Humidity","ERA5-Land Relative Humidity calculated from ERA5-Land variables (temperature, dewpoint temperature, pressure), 30 arc seconds, WGS 84 (EPSG:4326), 2000 – 07/2021: Daily average of relative humidity.

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Relative humidity (rh2m) has been calculated from air temperature 2 m above ground (Ta) and dewpoint temperature 2 m above ground (Td) using the formula for saturated water pressure (Wright, J.M. (1997): Federal meteorological handbook no. 3 (FCM-H3-1997). Office of Federal Coordinator for Meteorological Services and Supporting Research. Washington, DC)

Data provided is the daily averages of relative humidity.","relative humidity, geospatial analysis, environment, meteorology, Europe, ERA5-Land, CHELSA, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Wint William (william.wint@zoo.ox.ac.uk),
Jones Peter (p.jones@cgiar.org)",2022,Zenodo,"https://doi.org/10.5281/zenodo.6342776
https://doi.org/10.5281/zenodo.6342822
https://doi.org/10.5281/zenodo.6344012
https://doi.org/10.5281/zenodo.6344066
https://doi.org/10.5281/zenodo.6344125",YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120083,83
YES,"ERA5-Land, Relative Humidity","ERA5-Land Relative Humidity calculated from ERA5-Land variables (temperature, dewpoint temperature, pressure), 1000 m, EU LAEA (EPSG:3035), 2000 – 07/2021: Daily average of relative humidity.

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Relative humidity (rh2m) has been calculated from air temperature 2 m above ground (Ta) and dewpoint temperature 2 m above ground (Td) using the formula for saturated water pressure (Wright, J.M. (1997): Federal meteorological handbook no. 3 (FCM-H3-1997). Office of Federal Coordinator for Meteorological Services and Supporting Research. Washington, DC)

Data provided is the daily averages of relative humidity.
The data have been reprojected to EU LAEA.","relative humidity, geospatial analysis, environment, meteorology, Europe, ERA5-Land, CHELSA, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Wint William (william.wint@zoo.ox.ac.uk),
Jones Peter (p.jones@cgiar.org)",2022,Zenodo,"https://doi.org/10.5281/zenodo.7426990
https://doi.org/10.5281/zenodo.7434376
https://doi.org/10.5281/zenodo.7432432
https://doi.org/10.5281/zenodo.7434447
https://doi.org/10.5281/zenodo.7434396",YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120084,84
YES,"ERA5-Land, Relative Humidity","ERA5-Land Relative Humidity calculated from ERA5-Land variables (temperature, dewpoint temperature, pressure), 30 arc seconds, WGS 84 (EPSG:4326), 2000 – 07/2021: Decadal (10-day) average of relative humidity.

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Relative humidity (rh2m) has been calculated from air temperature 2 m above ground (Ta) and dewpoint temperature 2 m above ground (Td) using the formula for saturated water pressure (Wright, J.M. (1997): Federal meteorological handbook no. 3 (FCM-H3-1997). Office of Federal Coordinator for Meteorological Services and Supporting Research. Washington, DC)

The resulting relative humidity has been aggregated to decadal averages. Each month is divided into three decades: the first decade of a month covers days 1-10, the second decade covers days 11-20, and the third decade covers days 21-last day of the month. ","relative humidity, geospatial analysis, environment, meteorology, Europe, ERA5-Land, CHELSA, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Wint William (william.wint@zoo.ox.ac.uk),
Jones Peter (p.jones@cgiar.org)",2022,Zenodo,https://doi.org/10.5281/zenodo.6147830,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120085,85
YES,"ERA5-Land, Relative Humidity","ERA5-Land Relative Humidity calculated from ERA5-Land variables (temperature, dewpoint temperature, pressure), 1000 m, EU LAEA (EPSG:3035), 2000 – 07/2021: Decadal (10-day) average of relative humidity.  

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Relative humidity (rh2m) has been calculated from air temperature 2 m above ground (Ta) and dewpoint temperature 2 m above ground (Td) using the formula for saturated water pressure (Wright, J.M. (1997): Federal meteorological handbook no. 3 (FCM-H3-1997). Office of Federal Coordinator for Meteorological Services and Supporting Research. Washington, DC)

The resulting relative humidity has been aggregated to decadal averages. Each month is divided into three decades: the first decade of a month covers days 1-10, the second decade covers days 11-20, and the third decade covers days 21-last day of the month.
The data have been reprojected to EU LAEA.","relative humidity, geospatial analysis, environment, meteorology, Europe, ERA5-Land, CHELSA, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de), Haas Julia (haas@mundialis.de), Neteler Markus (neteler@mundialis.de), Wint William (william.wint@zoo.ox.ac.uk), Jones Peter (p.jones@cgiar.org)",2022,Zenodo,https://doi.org/10.5281/zenodo.7427010,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120086,86
YES,"ERA5-Land, Relative Humidity","ERA5-Land Relative Humidity calculated from ERA5-Land variables (temperature, dewpoint temperature, pressure), 30 arc seconds, WGS 84 (EPSG:4326), 2000 – 12/2022: Monthly average of relative humidity. 

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Relative humidity (rh2m) has been calculated from air temperature 2 m above ground (Ta) and dewpoint temperature 2 m above ground (Td) using the formula for saturated water pressure (Wright, J.M. (1997): Federal meteorological handbook no. 3 (FCM-H3-1997). Office of Federal Coordinator for Meteorological Services and Supporting Research. Washington, DC)

The resulting relative humidity has been aggregated to monthly averages.","relative humidity, geospatial analysis, environment, meteorology, Europe, ERA5-Land, CHELSA, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Wint William (william.wint@zoo.ox.ac.uk),
Jones Peter (p.jones@cgiar.org)",2023,Zenodo,https://doi.org/10.5281/zenodo.10100967,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120087,87
YES,"ERA5-Land, Relative Humidity","ERA5-Land Relative Humidity calculated from ERA5-Land variables (temperature, dewpoint temperature, pressure), 1000 m, EU LAEA (EPSG:3035), 2000 – 12/2022: Monthly average of relative humidity","relative humidity, geospatial analysis, environment, meteorology, Europe, ERA5-Land, CHELSA, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Wint William (william.wint@zoo.ox.ac.uk),
Jones Peter (p.jones@cgiar.org)",2023,Zenodo,https://doi.org/10.5281/zenodo.10101390,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120088,88
NO,"ERA5-Land, Surface Temperature","ERA5-Land Surface Temperature, enhanced to 1 km, LAEA Europe (EPSG:3035): Daily min/mean/max of surface temperature, 2000 - 2020 

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Surface temperature:
Temperature of the surface of the Earth. The skin temperature is the theoretical temperature that is required to satisfy the surface energy balance. It represents the temperature of the uppermost surface layer, which has no heat capacity and so can respond instantaneously to changes in surface fluxes.

Data available is the daily average, minimum and maximum of surface temperature.","surface temperature, MOOD-H2020, Europe, ERA5-Land",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Kröber Felix ",2022,Data upon request,https://geonetwork.mood-h2020.eu/geonetwork/srv/eng/catalog.search#/metadata/a72f738b-6704-4d00-98d7-a83f61346560,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120089,89
YES,"ERA5-Land, Surface Temperature","ERA5-Land Surface Temperature, enhanced to 1 km, LAEA Europe (EPSG:3035): Weekly min/mean/max of surface temperature, 2016 - 2020

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Surface temperature:
Temperature of the surface of the Earth. The skin temperature is the theoretical temperature that is required to satisfy the surface energy balance. It represents the temperature of the uppermost surface layer, which has no heat capacity and so can respond instantaneously to changes in surface fluxes.

The spatially enhanced daily ERA5-Land data has been aggregated on a weekly basis (starting from Saturday) for the time period 2016 - 2020.
Data available is the weekly average of daily averages, the weekly minimum of daily minima and the weekly maximum of daily maxima of surface temperature.","surface temperature, MOOD-H2020, Europe, ERA5-Land",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Kröber Felix ",2022,Zenodo,https://doi.org/10.5281/zenodo.6559068,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120090,90
NO,"ERA5-Land, Total Precipitation","ERA5-Land Total Precipitation, enhanced to 1 km, LAEA Europe (EPSG:3035): Daily average/sum of total precipitation, 2000 - 2020 

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Total precipitation:
Accumulated liquid and frozen water, including rain and snow, that falls to the Earth's surface. It is the sum of large-scale precipitation (that precipitation which is generated by large-scale weather patterns, such as troughs and cold fronts) and convective precipitation (generated by convection which occurs when air at lower levels in the atmosphere is warmer and less dense than the air above, so it rises). Precipitation variables do not include fog, dew or the precipitation that evaporates in the atmosphere before it lands at the surface of the Earth. This variable is accumulated from the beginning of the forecast time to the end of the forecast step. The units of precipitation are depth in metres. It is the depth the water would have if it were spread evenly over the grid box. Care should be taken when comparing model variables with observations, because observations are often local to a particular point in space and time, rather than representing averages over a model grid box and model time step.

Data available is the daily sum of precipitation.","precipitation, MOOD-H2020, Europe, ERA5-Land",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Kröber Felix ",2022,Data upon request,https://geonetwork.mood-h2020.eu/geonetwork/srv/eng/catalog.search#/metadata/d5334e64-bae5-4894-ad02-fc4286a9e500,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Leptospirosis, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120091,91
YES,"ERA5-Land, Total Precipitation","ERA5-Land Total Precipitation, enhanced to 1 km, LAEA Europe (EPSG:3035): Weekly average/sum of total precipitation, 2016 - 2020

Abstract: ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past.

Total precipitation:
Accumulated liquid and frozen water, including rain and snow, that falls to the Earth's surface. It is the sum of large-scale precipitation (that precipitation which is generated by large-scale weather patterns, such as troughs and cold fronts) and convective precipitation (generated by convection which occurs when air at lower levels in the atmosphere is warmer and less dense than the air above, so it rises). Precipitation variables do not include fog, dew or the precipitation that evaporates in the atmosphere before it lands at the surface of the Earth. This variable is accumulated from the beginning of the forecast time to the end of the forecast step. The units of precipitation are depth in metres. It is the depth the water would have if it were spread evenly over the grid box. Care should be taken when comparing model variables with observations, because observations are often local to a particular point in space and time, rather than representing averages over a model grid box and model time step.

The spatially enhanced daily ERA5-Land data has been aggregated on a weekly basis starting from Saturday for the time period 2016 - 2020.
Data available is the weekly average of daily sums and the weekly sum of daily sums of total precipitation.","precipitation, MOOD-H2020, Europe, ERA5-Land",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de),
Kröber Felix ",2022,Zenodo,https://doi.org/10.5281/zenodo.6559048,YES,,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,,,,"Tularaemia, Leptospirosis, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120092,92
YES,Global Daylength Map,"Daily maps for global daylight length at 30 arc seconds resolution (2022). 

Abstract: Daily maps for global daylight length, calculated for the year 2022.

For each day within the year 2022, the photoperiod (sunshine hours on flat terrain) are calculated using the SOLPOS algorithm developed by the National Renewable Energy Laboratory (NREL), USA. Resultant values have been converted from hours to minutes.","daylength, photoperiod, environment, meteorology, global, MOOD-H2020",mundialis,Metz Markus (metz@mundialis.de),2022,Zenodo,https://doi.org/10.5281/zenodo.7249037,YES,,CC-BY-SA 4.0,,,,,"Lyme, TBE",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120096,96
NO,MODIS v6.0 Land Surface Temperature (LST),"Gap-filled MODIS LST data: Daily average, minimum and maximum gap-filled MODIS LST data from MOD11A1/MYD11A1, 1 km resolution, Sinusoidal, 2003-2019
(spatial extent of central Europe, smaller than MOOD area).

Abstract: Temperature time series with high spatial and temporal resolutions are important for several applications. The new MODIS Land Surface Temperature (LST) collection 6 provides numerous improvements compared to collection 5. However, being remotely sensed data in the thermal range, LST shows gaps in cloud-covered areas. With a novel method (Metz M., Andreo V., Neteler M. (2017): A new fully gap-free time series of Land Surface Temperature from MODIS LST data) we fully reconstructed the daily global MODIS LST products MOD11A1/MYD11A1 (spatial resolution: 1 km). For this, we combined temporal and spatial interpolation, using emissivity and elevation as covariates for the spatial interpolation.

The data are processed for a spatial extent of central Europe (Spatial extent in EPSG:4326 (W, S, E, N): 0, 40, 40, 60) for the years 2003-2019 in daily resolution.","land surface temperature, MOOD-H2020, MODIS",mundialis,"Metz Markus (metz@mundialis.de),
Andreo Verónica (veroandreo@gmail.com)
Neteler Markus (neteler@mundialis.de)",2022,Data upon request,https://data.mundialis.de/geonetwork/srv/eng/catalog.search#/metadata/8f4ed617-1783-48fb-a0b6-6e817a0fc7ee,YES,10.3390/rs9121333,Open Data Commons Open Database License v1.0 (ODbL),,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120101,101
NO,MODIS v6.0 Land Surface Temperature (LST),"Gap-filled MODIS LST data: Daily average, minimum and maximum gap-filled MODIS LST dataset: Northern Italy Land Surface Temperature, 1km resolution, reprojected to LAEA Europe (EPSG:3035), 2010 - 2018. 

Abstract: Temperature time series with high spatial and temporal resolutions are important for several applications. The new MODIS Land Surface Temperature (LST) collection 6 provides numerous improvements compared to collection 5. However, being remotely sensed data in the thermal range, LST shows gaps in cloud-covered areas. With a novel method (Metz M., Andreo V., Neteler M. (2017): A new fully gap-free time series of Land Surface Temperature from MODIS LST data) we fully reconstructed the daily global MODIS LST products MOD11A1/MYD11A1 (spatial resolution: 1 km). For this, we combined temporal and spatial interpolation, using emissivity and elevation as covariates for the spatial interpolation.

The data are processed for Northern Italy for the years 2010-2018 in daily resolution and are reprojected to EU LAEA.","land surface temperature, MOOD-H2020, MODIS",mundialis,"Metz Markus (metz@mundialis.de),
Andreo Verónica (veroandreo@gmail.com)
Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.3564515,YES,10.3390/rs9121333,Open Data Commons Open Database License v1.0 (ODbL),,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120102,102
NO,MODIS v6.0 Land Surface Temperature (LST),"Gap-filled MODIS LST data: Monthly average, minimum and maximum of gap-filled MODIS LST data from MOD11C1 / MYD11C1, 3 arc min, Sinusoidal, 2003-2016. 

Abstract: Temperature time series with high spatial and temporal resolutions are important for several applications. The new MODIS Land Surface Temperature (LST) collection 6 provides numerous improvements compared to collection 5. However, being remotely sensed data in the thermal range, LST shows gaps in cloud-covered areas. With a novel method (Metz M., Andreo V., Neteler M. (2017): A new fully gap-free time series of Land Surface Temperature from MODIS LST data.) we fully reconstructed the  daily global MODIS LST products MOD11C1 and MYD11C1 (spatial resolution: 3 arc-min, i.e. approximately 5.6 km at the equator). For this, we combined temporal and spatial interpolation, using emissivity and elevation as covariates for the spatial interpolation. Here we provide a time series of these reconstructed LST data aggregated as monthly average, minimum and maximum LST maps.

The data are pocessed for the years 2003 - 2016 in monthly resolution.","land surface temperature, MOOD-H2020, MODIS",mundialis,"Metz Markus (metz@mundialis.de), Andreo Verónica (veroandreo@gmail.com) Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.1135230,YES,10.3390/rs9121333,Open Data Commons Open Database License v1.0 (ODbL),,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120103,103
YES,MODIS v6.0 MNDWI,"MODIS Modified Normalized Difference Water Index (MNDWI) : 8-day MODIS MNDWI, 1 km resolution, reprojected to LAEA Europe (EPSG:3035), 10/2016 - 03/2017and 08/2020 - 04/2021. 

Abstract: Modified Normalized Difference Water Index (MNDWI) from MODIS data for Europe at 1 km resolution.

Source data:
- MODIS/Terra Surface Reflectance 8-Day L3 Global 500 m SIN Grid (MOD09A1 v006): https://lpdaac.usgs.gov/products/mod09a1v006/

The corresponding MODIS/Aqua product (MYD09A1 v006) could not be used due to the fact that the Aqua satellite has a number of broken detectors resulting in unreliable data for band 6 (SWIR) measurements.

The Moderate Resolution Imaging Spectroradiometer (MODIS) Terra MOD09A1 Version 6 product provides an estimate of the surface spectral reflectance of Terra MODIS Bands 1 through 7 corrected for atmospheric conditions such as gasses, aerosols, and Rayleigh scattering. Along with the seven 500 meter (m) reflectance bands are two quality layers and four observation bands. For each pixel, a value is selected from all the acquisitions within the 8-day composite period. The criteria for the pixel choice include cloud and solar zenith. When several acquisitions meet the criteria the pixel with the minimum channel 3 (blue) value is used.","water index, satellite, MODIS, Europe, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.6573878,YES,,LP DAAC,,,,,"Avian Flu, Tularaemia, Leptospirosis, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120104,104
